Year,Age,Gender,Educational Attainment,Personal Income,Population Count
1/1/2010,18 to 64,Male,High school or equivalent,No Income,345253.00
1/1/2010,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",190829.00
1/1/2010,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",209509.00
1/1/2010,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",533513.00
1/1/2010,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",412122.00
1/1/2010,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",470369.00
1/1/2010,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",339017.00
1/1/2010,18 to 64,Male,High school or equivalent,"$75,000 and over",215851.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree",No Income,310460.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",220408.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",234677.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",356706.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",374227.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",474116.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",581119.00
1/1/2010,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",441967.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,No Income,108052.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",79453.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",127848.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",234951.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",239971.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",408505.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",624308.00
1/1/2010,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1424758.00
1/1/2010,18 to 64,Female,No high school diploma,No Income,666858.00
1/1/2010,18 to 64,Female,No high school diploma,"$5,000 to $9,999",236424.00
1/1/2010,18 to 64,Female,No high school diploma,"$10,000 to $14,999",253247.00
1/1/2010,18 to 64,Female,No high school diploma,"$15,000 to $24,999",287963.00
1/1/2010,18 to 64,Female,No high school diploma,"$25,000 to $34,999",107504.00
1/1/2010,18 to 64,Female,No high school diploma,"$35,000 to $49,999",35129.00
1/1/2010,18 to 64,Female,No high school diploma,"$50,000 to $74,999",18515.00
1/1/2010,18 to 64,Female,No high school diploma,"$75,000 and over",15038.00
1/1/2010,18 to 64,Female,High school or equivalent,No Income,496567.00
1/1/2010,18 to 64,Female,High school or equivalent,"$5,000 to $9,999",252271.00
1/1/2010,18 to 64,Female,High school or equivalent,"$10,000 to $14,999",276576.00
1/1/2010,18 to 64,Female,High school or equivalent,"$15,000 to $24,999",436288.00
1/1/2010,18 to 64,Female,High school or equivalent,"$25,000 to $34,999",363540.00
1/1/2010,18 to 64,Female,High school or equivalent,"$35,000 to $49,999",225261.00
1/1/2010,18 to 64,Female,High school or equivalent,"$50,000 to $74,999",136694.00
1/1/2010,18 to 64,Female,High school or equivalent,"$75,000 and over",43721.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree",No Income,443607.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",374128.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",386929.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",567753.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",491109.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",442917.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",321434.00
1/1/2010,18 to 64,Female,"Some college, less than 4-yr degree","$75,000 and over",184398.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,No Income,269680.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$5,000 to $9,999",168951.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$10,000 to $14,999",133220.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$15,000 to $24,999",325516.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$25,000 to $34,999",305706.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$35,000 to $49,999",516029.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$50,000 to $74,999",687153.00
1/1/2010,18 to 64,Female,Bachelor's degree or higher,"$75,000 and over",755781.00
1/1/2010,65 to 80+,Male,No high school diploma,No Income,18733.00
1/1/2010,65 to 80+,Male,No high school diploma,"$5,000 to $9,999",75130.00
1/1/2010,65 to 80+,Male,No high school diploma,"$10,000 to $14,999",81385.00
1/1/2010,65 to 80+,Male,No high school diploma,"$15,000 to $24,999",81088.00
1/1/2010,65 to 80+,Male,No high school diploma,"$25,000 to $34,999",28729.00
1/1/2010,65 to 80+,Male,No high school diploma,"$35,000 to $49,999",27814.00
1/1/2010,65 to 80+,Male,No high school diploma,"$50,000 to $74,999",13619.00
1/1/2010,65 to 80+,Male,No high school diploma,"$75,000 and over",8432.00
1/1/2010,65 to 80+,Male,High school or equivalent,No Income,24958.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$5,000 to $9,999",30722.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$10,000 to $14,999",67289.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$15,000 to $24,999",79553.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$25,000 to $34,999",62167.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$35,000 to $49,999",38792.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$50,000 to $74,999",51319.00
1/1/2010,65 to 80+,Male,High school or equivalent,"$75,000 and over",20167.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree",No Income,9228.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",23578.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",60002.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",98499.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",73522.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",46221.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",39453.00
1/1/2010,65 to 80+,Male,"Some college, less than 4-yr degree","$75,000 and over",51157.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,No Income,14892.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$5,000 to $9,999",28867.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$10,000 to $14,999",45842.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$15,000 to $24,999",111055.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$25,000 to $34,999",85110.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$35,000 to $49,999",64614.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$50,000 to $74,999",103469.00
1/1/2010,65 to 80+,Male,Bachelor's degree or higher,"$75,000 and over",192339.00
1/1/2010,65 to 80+,Female,No high school diploma,No Income,72036.00
1/1/2010,65 to 80+,Female,No high school diploma,"$5,000 to $9,999",136110.00
1/1/2010,65 to 80+,Female,No high school diploma,"$10,000 to $14,999",146005.00
1/1/2010,65 to 80+,Female,No high school diploma,"$15,000 to $24,999",57098.00
1/1/2010,65 to 80+,Female,No high school diploma,"$25,000 to $34,999",11302.00
1/1/2010,65 to 80+,Female,No high school diploma,"$35,000 to $49,999",8907.00
1/1/2010,65 to 80+,Female,No high school diploma,"$50,000 to $74,999",8606.00
1/1/2010,65 to 80+,Female,No high school diploma,"$75,000 and over",4876.00
1/1/2010,65 to 80+,Female,High school or equivalent,No Income,38084.00
1/1/2011,00 to 17,Female,Children under 15,No Income,0.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$5,000 to $9,999",138923.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$10,000 to $14,999",141254.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$15,000 to $24,999",138952.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$25,000 to $34,999",58847.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$35,000 to $49,999",40875.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$50,000 to $74,999",35909.00
1/1/2010,65 to 80+,Female,High school or equivalent,"$75,000 and over",22945.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree",No Income,25882.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",104478.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",90675.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",152795.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",73450.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",55103.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",41076.00
1/1/2010,65 to 80+,Female,"Some college, less than 4-yr degree","$75,000 and over",30088.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,No Income,28702.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$5,000 to $9,999",75754.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$10,000 to $14,999",82404.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$15,000 to $24,999",107427.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$25,000 to $34,999",65563.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$35,000 to $49,999",76520.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$50,000 to $74,999",78561.00
1/1/2010,65 to 80+,Female,Bachelor's degree or higher,"$75,000 and over",73833.00
1/1/2011,00 to 17,Male,Children under 15,No Income,0.00
1/1/2011,00 to 17,Male,No high school diploma,No Income,679824.00
1/1/2011,00 to 17,Male,No high school diploma,"$5,000 to $9,999",22729.00
1/1/2011,00 to 17,Male,No high school diploma,"$10,000 to $14,999",9049.00
1/1/2011,00 to 17,Male,No high school diploma,"$15,000 to $24,999",10327.00
1/1/2011,00 to 17,Male,No high school diploma,"$25,000 to $34,999",3220.00
1/1/2011,00 to 17,Male,No high school diploma,"$35,000 to $49,999",1647.00
1/1/2011,00 to 17,Male,High school or equivalent,No Income,5434.00
1/1/2011,00 to 17,Male,High school or equivalent,"$10,000 to $14,999",1328.00
1/1/2011,00 to 17,Male,High school or equivalent,"$15,000 to $24,999",1312.00
1/1/2011,00 to 17,Male,"Some college, less than 4-yr degree",No Income,4421.00
1/1/2011,00 to 17,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",1324.00
1/1/2011,00 to 17,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",1209.00
1/1/2011,00 to 17,Male,"Some college, less than 4-yr degree","$75,000 and over",1618.00
1/1/2011,00 to 17,Male,Bachelor's degree or higher,No Income,0.00
1/1/2011,00 to 17,Male,Bachelor's degree or higher,"$10,000 to $14,999",2394.00
1/1/2011,00 to 17,Female,No high school diploma,No Income,634048.00
1/1/2011,00 to 17,Female,No high school diploma,"$5,000 to $9,999",25907.00
1/1/2011,00 to 17,Female,No high school diploma,"$10,000 to $14,999",13283.00
1/1/2011,00 to 17,Female,High school or equivalent,No Income,6903.00
1/1/2011,00 to 17,Female,High school or equivalent,"$10,000 to $14,999",2561.00
1/1/2011,00 to 17,Female,"Some college, less than 4-yr degree",No Income,4089.00
1/1/2011,00 to 17,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",4503.00
1/1/2011,00 to 17,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",1614.00
1/1/2011,00 to 17,Female,Bachelor's degree or higher,No Income,0.00
1/1/2011,00 to 17,Female,Bachelor's degree or higher,"$15,000 to $24,999",2859.00
1/1/2011,18 to 64,Male,No high school diploma,No Income,359401.00
1/1/2011,18 to 64,Male,No high school diploma,"$5,000 to $9,999",177781.00
1/1/2011,18 to 64,Male,No high school diploma,"$10,000 to $14,999",288850.00
1/1/2011,18 to 64,Male,No high school diploma,"$15,000 to $24,999",546856.00
1/1/2011,18 to 64,Male,No high school diploma,"$25,000 to $34,999",295383.00
1/1/2011,18 to 64,Male,No high school diploma,"$35,000 to $49,999",175841.00
1/1/2011,18 to 64,Male,No high school diploma,"$50,000 to $74,999",100776.00
1/1/2011,18 to 64,Male,No high school diploma,"$75,000 and over",38335.00
1/1/2011,18 to 64,Male,High school or equivalent,No Income,450644.00
1/1/2011,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",179616.00
1/1/2011,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",264534.00
1/1/2011,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",519889.00
1/1/2011,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",422294.00
1/1/2011,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",477882.00
1/1/2011,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",387890.00
1/1/2011,18 to 64,Male,High school or equivalent,"$75,000 and over",188373.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree",No Income,331991.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",231167.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",288293.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",412679.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",353200.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",480546.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",489968.00
1/1/2011,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",462728.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,No Income,113687.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",97326.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",126768.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",230412.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",248724.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",331666.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",644826.00
1/1/2011,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1396795.00
1/1/2011,18 to 64,Female,No high school diploma,No Income,748885.00
1/1/2011,18 to 64,Female,No high school diploma,"$5,000 to $9,999",246973.00
1/1/2011,18 to 64,Female,No high school diploma,"$10,000 to $14,999",273029.00
1/1/2011,18 to 64,Female,No high school diploma,"$15,000 to $24,999",301428.00
1/1/2011,18 to 64,Female,No high school diploma,"$25,000 to $34,999",91755.00
1/1/2011,18 to 64,Female,No high school diploma,"$35,000 to $49,999",57985.00
1/1/2011,18 to 64,Female,No high school diploma,"$50,000 to $74,999",18925.00
1/1/2011,18 to 64,Female,No high school diploma,"$75,000 and over",7168.00
1/1/2011,18 to 64,Female,High school or equivalent,No Income,575559.00
1/1/2011,18 to 64,Female,High school or equivalent,"$5,000 to $9,999",291364.00
1/1/2011,18 to 64,Female,High school or equivalent,"$10,000 to $14,999",305265.00
1/1/2011,18 to 64,Female,High school or equivalent,"$15,000 to $24,999",425683.00
1/1/2011,18 to 64,Female,High school or equivalent,"$25,000 to $34,999",323001.00
1/1/2011,18 to 64,Female,High school or equivalent,"$35,000 to $49,999",311597.00
1/1/2011,18 to 64,Female,High school or equivalent,"$50,000 to $74,999",139946.00
1/1/2011,18 to 64,Female,High school or equivalent,"$75,000 and over",51155.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree",No Income,525597.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",367713.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",368797.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",542492.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",460822.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",427109.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",323702.00
1/1/2011,18 to 64,Female,"Some college, less than 4-yr degree","$75,000 and over",194826.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,No Income,266304.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$5,000 to $9,999",121211.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$10,000 to $14,999",170533.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$15,000 to $24,999",314317.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$25,000 to $34,999",286343.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$35,000 to $49,999",483781.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$50,000 to $74,999",676522.00
1/1/2011,18 to 64,Female,Bachelor's degree or higher,"$75,000 and over",777479.00
1/1/2011,65 to 80+,Male,No high school diploma,No Income,27629.00
1/1/2011,65 to 80+,Male,No high school diploma,"$5,000 to $9,999",63343.00
1/1/2011,65 to 80+,Male,No high school diploma,"$10,000 to $14,999",86809.00
1/1/2011,65 to 80+,Male,No high school diploma,"$15,000 to $24,999",80402.00
1/1/2011,65 to 80+,Male,No high school diploma,"$25,000 to $34,999",21236.00
1/1/2011,65 to 80+,Male,No high school diploma,"$35,000 to $49,999",20806.00
1/1/2011,65 to 80+,Male,No high school diploma,"$50,000 to $74,999",5966.00
1/1/2011,65 to 80+,Male,No high school diploma,"$75,000 and over",1686.00
1/1/2011,65 to 80+,Male,High school or equivalent,No Income,25812.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$5,000 to $9,999",16777.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$10,000 to $14,999",82082.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$15,000 to $24,999",107748.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$25,000 to $34,999",64250.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$35,000 to $49,999",34214.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$50,000 to $74,999",38236.00
1/1/2011,65 to 80+,Male,High school or equivalent,"$75,000 and over",9363.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree",No Income,15250.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",37367.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",66646.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",100794.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",71541.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",54755.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",53447.00
1/1/2011,65 to 80+,Male,"Some college, less than 4-yr degree","$75,000 and over",64832.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,No Income,21851.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$5,000 to $9,999",28190.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$10,000 to $14,999",47668.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$15,000 to $24,999",106705.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$25,000 to $34,999",92725.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$35,000 to $49,999",87337.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$50,000 to $74,999",148745.00
1/1/2011,65 to 80+,Male,Bachelor's degree or higher,"$75,000 and over",175775.00
1/1/2011,65 to 80+,Female,No high school diploma,No Income,77617.00
1/1/2011,65 to 80+,Female,No high school diploma,"$5,000 to $9,999",175975.00
1/1/2011,65 to 80+,Female,No high school diploma,"$10,000 to $14,999",152780.00
1/1/2011,65 to 80+,Female,No high school diploma,"$15,000 to $24,999",68997.00
1/1/2011,65 to 80+,Female,No high school diploma,"$25,000 to $34,999",13821.00
1/1/2011,65 to 80+,Female,No high school diploma,"$35,000 to $49,999",10588.00
1/1/2011,65 to 80+,Female,No high school diploma,"$50,000 to $74,999",6419.00
1/1/2011,65 to 80+,Female,No high school diploma,"$75,000 and over",2190.00
1/1/2011,65 to 80+,Female,High school or equivalent,No Income,43062.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$5,000 to $9,999",140300.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$10,000 to $14,999",125104.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$15,000 to $24,999",148331.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$25,000 to $34,999",65587.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$35,000 to $49,999",52376.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$50,000 to $74,999",27438.00
1/1/2011,65 to 80+,Female,High school or equivalent,"$75,000 and over",10372.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree",No Income,29080.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",107745.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",102391.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",152093.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",88513.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",43331.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",25292.00
1/1/2011,65 to 80+,Female,"Some college, less than 4-yr degree","$75,000 and over",33485.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,No Income,25829.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$5,000 to $9,999",49166.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$10,000 to $14,999",67525.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$15,000 to $24,999",114697.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$25,000 to $34,999",80989.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$35,000 to $49,999",58285.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$50,000 to $74,999",90812.00
1/1/2011,65 to 80+,Female,Bachelor's degree or higher,"$75,000 and over",75921.00
1/1/2012,00 to 17,Male,Children under 15,No Income,0.00
1/1/2012,00 to 17,Male,No high school diploma,No Income,705113.00
1/1/2012,00 to 17,Male,No high school diploma,"$5,000 to $9,999",28609.00
1/1/2012,00 to 17,Male,No high school diploma,"$10,000 to $14,999",4166.00
1/1/2012,00 to 17,Male,No high school diploma,"$15,000 to $24,999",9647.00
1/1/2012,00 to 17,Male,No high school diploma,"$25,000 to $34,999",1104.00
1/1/2012,00 to 17,Male,No high school diploma,"$35,000 to $49,999",1636.00
1/1/2012,00 to 17,Male,High school or equivalent,No Income,0.00
1/1/2012,00 to 17,Male,"Some college, less than 4-yr degree",No Income,0.00
1/1/2012,00 to 17,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",3208.00
1/1/2012,00 to 17,Male,Bachelor's degree or higher,No Income,1680.00
1/1/2012,00 to 17,Female,Children under 15,No Income,0.00
1/1/2012,00 to 17,Female,No high school diploma,No Income,641084.00
1/1/2012,00 to 17,Female,No high school diploma,"$5,000 to $9,999",27841.00
1/1/2012,00 to 17,Female,No high school diploma,"$10,000 to $14,999",5318.00
1/1/2012,00 to 17,Female,No high school diploma,"$15,000 to $24,999",2075.00
1/1/2012,00 to 17,Female,No high school diploma,"$75,000 and over",1553.00
1/1/2012,00 to 17,Female,High school or equivalent,No Income,6291.00
1/1/2012,00 to 17,Female,"Some college, less than 4-yr degree",No Income,4102.00
1/1/2012,00 to 17,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",1871.00
1/1/2012,00 to 17,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",2046.00
1/1/2012,00 to 17,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",1198.00
1/1/2012,00 to 17,Female,Bachelor's degree or higher,No Income,0.00
1/1/2012,00 to 17,Female,Bachelor's degree or higher,"$25,000 to $34,999",1198.00
1/1/2012,18 to 64,Male,No high school diploma,No Income,357363.00
1/1/2012,18 to 64,Male,No high school diploma,"$5,000 to $9,999",234399.00
1/1/2012,18 to 64,Male,No high school diploma,"$10,000 to $14,999",296619.00
1/1/2012,18 to 64,Male,No high school diploma,"$15,000 to $24,999",478466.00
1/1/2012,18 to 64,Male,No high school diploma,"$25,000 to $34,999",285220.00
1/1/2012,18 to 64,Male,No high school diploma,"$35,000 to $49,999",220388.00
1/1/2012,18 to 64,Male,No high school diploma,"$50,000 to $74,999",85944.00
1/1/2012,18 to 64,Male,No high school diploma,"$75,000 and over",37162.00
1/1/2012,18 to 64,Male,High school or equivalent,No Income,453889.00
1/1/2012,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",223998.00
1/1/2012,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",291838.00
1/1/2012,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",533300.00
1/1/2012,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",403456.00
1/1/2012,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",430104.00
1/1/2012,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",387094.00
1/1/2012,18 to 64,Male,High school or equivalent,"$75,000 and over",168064.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree",No Income,385337.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",295051.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",254478.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",457806.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",366349.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",438565.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",449158.00
1/1/2012,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",477728.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,No Income,143162.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",84310.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",92147.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",226292.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",229693.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",402570.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",552522.00
1/1/2012,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1511773.00
1/1/2012,18 to 64,Female,No high school diploma,No Income,719609.00
1/1/2012,18 to 64,Female,No high school diploma,"$5,000 to $9,999",279793.00
